src,dst,weight
huggingface/transformers,JaidedAI/EasyOCR,4
huggingface/transformers,d2l-ai/d2l-en,5
huggingface/transformers,fastai/fastai,4
huggingface/transformers,srbhr/Resume-Matcher,4
huggingface/transformers,deepset-ai/haystack,5
huggingface/transformers,lukasmasuch/best-of-ml-python,6
huggingface/transformers,amusi/CVPR2026-Papers-with-Code,4
huggingface/transformers,huggingface/datasets,6
huggingface/transformers,AccumulateMore/CV,6
huggingface/transformers,keon/awesome-nlp,4
huggingface/transformers,meta-llama/llama-cookbook,4
huggingface/transformers,arc53/DocsGPT,6
huggingface/transformers,dair-ai/ML-YouTube-Courses,4
huggingface/transformers,bharathgs/Awesome-pytorch-list,6
huggingface/transformers,piskvorky/gensim,4
huggingface/transformers,lukas-blecher/LaTeX-OCR,5
huggingface/transformers,oxford-cs-deepnlp-2017/lectures,4
huggingface/transformers,memvid/memvid,4
huggingface/transformers,alibaba/MNN,4
huggingface/transformers,nltk/nltk,4
huggingface/transformers,Unstructured-IO/unstructured,5
huggingface/transformers,flairNLP/flair,4
huggingface/transformers,microsoft/nni,4
huggingface/transformers,virgili0/Virgilio,4
huggingface/transformers,Data-Centric-AI-Community/fg-data-profiling,4
huggingface/transformers,tangyudi/Ai-Learn,5
huggingface/transformers,kmario23/deep-learning-drizzle,4
huggingface/transformers,ludwig-ai/ludwig,5
huggingface/transformers,tensorzero/tensorzero,4
huggingface/transformers,kornia/kornia,5
huggingface/transformers,chiphuyen/stanford-tensorflow-tutorials,5
huggingface/transformers,autogluon/autogluon,5
huggingface/transformers,satellite-image-deep-learning/techniques,4
huggingface/transformers,NVIDIA/DeepLearningExamples,4
huggingface/transformers,GeeeekExplorer/nano-vllm,5
huggingface/transformers,liyupi/ai-guide,4
huggingface/transformers,allenai/allennlp,5
huggingface/transformers,speechbrain/speechbrain,4
huggingface/transformers,huggingface/text-generation-inference,4
huggingface/transformers,openvinotoolkit/openvino,4
huggingface/transformers,bigscience-workshop/petals,6
huggingface/transformers,OpenMined/PySyft,4
huggingface/transformers,jadore801120/attention-is-all-you-need-pytorch,4
huggingface/transformers,vwxyzjn/cleanrl,4
huggingface/transformers,hiyouga/LlamaFactory,5
huggingface/transformers,graykode/nlp-tutorial,4
huggingface/transformers,modelscope/modelscope,4
huggingface/transformers,jessevig/bertviz,5
huggingface/transformers,stanfordnlp/stanza,6
huggingface/transformers,amitness/learning,4
huggingface/transformers,MycroftAI/mycroft-core,4
huggingface/transformers,microsoft/nlp-recipes,5
huggingface/transformers,SkalskiP/courses,4
huggingface/transformers,haifengl/smile,4
huggingface/transformers,OFA-Sys/Chinese-CLIP,4
huggingface/transformers,rohitg00/ai-engineering-from-scratch,5
huggingface/transformers,AutoGPTQ/AutoGPTQ,4
huggingface/transformers,Nyandwi/machine_learning_complete,4
huggingface/transformers,argilla-io/argilla,4
huggingface/transformers,hiyouga/EasyR1,4
huggingface/transformers,thunlp/OpenPrompt,5
huggingface/transformers,yanshengjia/ml-road,5
huggingface/transformers,trigaten/Learn_Prompting,4
huggingface/transformers,LLMBook-zh/LLMBook-zh.github.io,4
huggingface/transformers,mosaicml/llm-foundry,4
huggingface/transformers,Moataz-Elmesmary/Data-Science-Roadmap,4
huggingface/transformers,SylphAI-Inc/AdalFlow,4
huggingface/transformers,eosphoros-ai/Awesome-Text2SQL,4
huggingface/transformers,ml-tooling/ml-workspace,5
huggingface/transformers,jaymody/picoGPT,4
huggingface/transformers,HenryNdubuaku/maths-cs-ai-compendium,4
huggingface/transformers,guillaume-be/rust-bert,4
huggingface/transformers,DSKSD/DeepNLP-models-Pytorch,4
huggingface/transformers,explosion/thinc,6
huggingface/transformers,huggingface/neuralcoref,4
huggingface/transformers,huggingface/knockknock,5
huggingface/transformers,dmlc/gluon-nlp,4
huggingface/transformers,curiousily/Getting-Things-Done-with-Pytorch,5
huggingface/transformers,github/CodeSearchNet,5
huggingface/transformers,milvus-io/bootcamp,4
huggingface/transformers,roboflow/notebooks,5
huggingface/transformers,obss/sahi,5
huggingface/transformers,lightly-ai/lightly,4
huggingface/transformers,hemansnation/AI-Engineer-Headquarters,5
huggingface/transformers,WeThinkIn/AIGC-Interview-Book,4
huggingface/transformers,podgorskiy/ALAE,4
huggingface/transformers,girafe-ai/ml-course,5
huggingface/transformers,catalyst-team/catalyst,5
huggingface/transformers,Charmve/computer-vision-in-action,4
huggingface/transformers,SharpAI/DeepCamera,5
huggingface/transformers,MLNLP-World/Top-AI-Conferences-Paper-with-Code,4
huggingface/transformers,unslothai/unsloth,4
huggingface/transformers,sgl-project/sglang,6
huggingface/transformers,lazyprogrammer/machine_learning_examples,4
huggingface/transformers,rasbt/reasoning-from-scratch,4
huggingface/transformers,changyeyu/LLM-RL-Visualized,5
huggingface/transformers,ashishpatel26/Andrew-NG-Notes,4
huggingface/transformers,MaximeVandegar/Papers-in-100-Lines-of-Code,4
huggingface/transformers,meta-pytorch/tnt,4
huggingface/transformers,huggingface/autotrain-advanced,4
huggingface/transformers,microsoft/FLAML,4
huggingface/transformers,huggingface/huggingface_hub,7
huggingface/transformers,GokuMohandas/mlops-course,5
huggingface/transformers,teddylee777/machine-learning,5
huggingface/transformers,aws-samples/aws-machine-learning-university-accelerated-nlp,4
huggingface/transformers,deeplearningturkiye/turkce-yapay-zeka-kaynaklari,4
huggingface/transformers,asyml/texar,4
huggingface/transformers,dipanjanS/practical-machine-learning-with-python,4
huggingface/transformers,PetrochukM/PyTorch-NLP,6
huggingface/transformers,DerwenAI/pytextrank,4
huggingface/transformers,delip/PyTorchNLPBook,4
huggingface/transformers,jsksxs360/How-to-use-Transformers,4
huggingface/transformers,nlpodyssey/spago,4
huggingface/transformers,SqueezeAILab/LLMCompiler,4
huggingface/transformers,yobix-ai/extractous,4
huggingface/transformers,Andrew-Jang/RAGHub,4
huggingface/transformers,graph4ai/graph4nlp,5
huggingface/transformers,explosion/sense2vec,4
huggingface/transformers,bespokelabsai/curator,5
huggingface/transformers,neomatrix369/awesome-ai-ml-dl,4
huggingface/transformers,plasticityai/magnitude,4
huggingface/transformers,dair-ai/Transformers-Recipe,4
huggingface/transformers,datamade/usaddress,4
huggingface/transformers,yoshitomo-matsubara/torchdistill,4
huggingface/transformers,microsoft/Semi-supervised-learning,5
huggingface/transformers,superlinked/sie,5
huggingface/transformers,bfelbo/DeepMoji,5
huggingface/transformers,tstanislawek/awesome-document-understanding,4
huggingface/transformers,code-kern-ai/refinery,5
huggingface/transformers,vllm-project/vllm,5
huggingface/transformers,xorbitsai/inference,5
huggingface/transformers,pyro-ppl/pyro,4
huggingface/transformers,OptimalScale/LMFlow,4
huggingface/transformers,FunAudioLLM/SenseVoice,4
huggingface/transformers,flwrlabs/flower,4
huggingface/transformers,timeseriesAI/tsai,5
huggingface/transformers,NVIDIA/DALI,4
huggingface/transformers,zenml-io/zenml,4
huggingface/transformers,TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,4
huggingface/transformers,SwanHubX/SwanLab,5
huggingface/transformers,PennyLaneAI/pennylane,4
huggingface/transformers,osmr/imgclsmob,4
huggingface/transformers,linto-ai/whisper-timestamped,5
huggingface/transformers,alibaba/EasyNLP,5
huggingface/transformers,lihanghang/NLP-Knowledge-Graph,4
huggingface/transformers,microsoft/mup,4
huggingface/transformers,cdpierse/transformers-interpret,4
huggingface/transformers,hyperonym/basaran,4
huggingface/transformers,ARahim3/mlx-tune,4
huggingface/transformers,PrunaAI/pruna,5
huggingface/transformers,openvinotoolkit/nncf,4
huggingface/transformers,datadreamer-dev/DataDreamer,7
huggingface/transformers,gordicaleksa/pytorch-original-transformer,5
huggingface/transformers,kennethleungty/Llama-2-Open-Source-LLM-CPU-Inference,6
huggingface/transformers,Denis2054/Transformers-for-NLP-2nd-Edition,6
huggingface/transformers,explosion/curated-transformers,4
huggingface/transformers,abhimishra91/transformers-tutorials,4
huggingface/transformers,alephpi/Texo,4
huggingface/transformers,ollama/ollama,5
huggingface/transformers,bentoml/BentoML,4
huggingface/transformers,truefoundry/cognita,4
huggingface/transformers,rnchg/APT,4
huggingface/transformers,mindspore-lab/mindnlp,6
huggingface/transformers,explosion/spacy-llm,4
huggingface/transformers,GradientHQ/parallax,7
huggingface/transformers,coderonion/awesome-yolo-object-detection,4
huggingface/transformers,BloodAxe/pytorch-toolbelt,4
huggingface/transformers,lightly-ai/lightly-train,5
huggingface/transformers,alexsosn/iOS_ML,4
huggingface/transformers,mravanelli/SincNet,5
huggingface/transformers,ashishpatel26/Treasure-of-Transformers,9
huggingface/transformers,lhotse-speech/lhotse,6
huggingface/transformers,iceychris/LibreASR,4
huggingface/transformers,safe-graph/graph-fraud-detection-papers,4
huggingface/transformers,amaiya/ktrain,4
huggingface/transformers,benedekrozemberczki/GraphWaveletNeuralNetwork,4
huggingface/transformers,LukasZahradnik/PyNeuraLogic,4
huggingface/transformers,benedekrozemberczki/SGCN,4
huggingface/transformers,achuthasubhash/Complete-Life-Cycle-of-a-Data-Science-Project,4
huggingface/transformers,bharathgs/Awesome-Distributed-Deep-Learning,4
huggingface/transformers,OpenMined/SyferText,4
huggingface/transformers,p2pfl/p2pfl,4
huggingface/transformers,DiscreetAI/decentralized-ml,4
pytorch/pytorch,explosion/spaCy,4
pytorch/pytorch,lutzroeder/netron,4
pytorch/pytorch,donnemartin/data-science-ipython-notebooks,4
pytorch/pytorch,fastai/fastai,4
pytorch/pytorch,ageron/handson-ml,4
pytorch/pytorch,PaddlePaddle/Paddle,4
pytorch/pytorch,microsoft/CNTK,4
pytorch/pytorch,bharathgs/Awesome-pytorch-list,4
pytorch/pytorch,tracel-ai/burn,4
pytorch/pytorch,microsoft/nni,4
pytorch/pytorch,apache/tvm,4
pytorch/pytorch,tangyudi/Ai-Learn,4
pytorch/pytorch,MorvanZhou/tutorials,4
pytorch/pytorch,kornia/kornia,4
pytorch/pytorch,fastai/numerical-linear-algebra,4
pytorch/pytorch,Nyandwi/machine_learning_complete,4
