model,query_idx,query_repo,relevant_candidates,Precision@10,Recall@10,MAP@10,NDCG@10
Popularity baseline,1466,shcherbak-ai/contextgem,343,0.7,0.02040816326530612,0.3963095238095238,0.5750739861833288
Popularity baseline,1470,microsoft/mattergen,205,0.1,0.004878048780487805,0.01111111111111111,0.06625422345438903
Popularity baseline,1471,beam-cloud/beta9,192,0.0,0.0,0.0,0.0
Popularity baseline,1472,undreamai/LLMUnity,316,0.6,0.0189873417721519,0.3126984126984127,0.5056427642465515
Popularity baseline,1474,a2aproject/a2a-samples,246,0.2,0.008130081300813009,0.07222222222222222,0.2051166673279436
Popularity baseline,1475,business-science/awesome-generative-ai-data-scientist,347,0.5,0.01440922190201729,0.22730158730158728,0.42724449526787633
Popularity baseline,1481,buaacyw/GaussianEditor,205,0.1,0.004878048780487805,0.01111111111111111,0.06625422345438903
Popularity baseline,1490,aws-samples/bedrock-chat,211,0.6,0.02843601895734597,0.4396428571428571,0.6505132600483449
Popularity baseline,1491,AIoT-MLSys-Lab/Efficient-LLMs-Survey,405,0.1,0.0024691358024691358,0.01111111111111111,0.06625422345438903
Popularity baseline,1495,bricks-cloud/BricksLLM,359,0.5,0.013927576601671309,0.22730158730158728,0.42724449526787633
Popularity baseline,1498,scraed/LanPaint,36,0.0,0.0,0.0,0.0
Popularity baseline,1502,kodustech/kodus-ai,117,0.2,0.017094017094017096,0.042222222222222223,0.15139734109601002
Popularity baseline,1504,dynamiq-ai/dynamiq,316,0.5,0.015822784810126583,0.22730158730158728,0.42724449526787633
Popularity baseline,1506,mlc-ai/web-llm-chat,400,0.6,0.015,0.3126984126984127,0.5056427642465515
Popularity baseline,1510,massgen/MassGen,220,0.3,0.013636363636363636,0.10500000000000001,0.27191445400928355
Popularity baseline,1513,hollobit/GenAI_LLM_timeline,402,0.8,0.01990049751243781,0.6308730158730158,0.7951657524814092
Popularity baseline,1529,chain-ml/council,570,0.7,0.012280701754385965,0.4329761904761904,0.6067216003536936
Popularity baseline,1530,GoogleCloudPlatform/applied-ai-engineering-samples,260,0.2,0.007692307692307693,0.03888888888888888,0.14465249243306436
Popularity baseline,1537,castorini/daam,69,0.1,0.014492753623188406,0.025,0.09478836436955078
Popularity baseline,1540,stacklok/codegate,414,0.7,0.016908212560386472,0.5163095238095239,0.7167674835027339
Popularity baseline,1541,EdoardoBotta/RQ-VAE-Recommender,205,0.1,0.004878048780487805,0.01111111111111111,0.06625422345438903
Popularity baseline,1553,gabriben/awesome-generative-information-retrieval,694,0.6,0.008645533141210375,0.3296428571428571,0.4990267326507382
Popularity baseline,1566,hao-ai-lab/FastVideo,38,0.0,0.0,0.0,0.0
Popularity baseline,1574,ChenHsing/Awesome-Video-Diffusion-Models,62,0.0,0.0,0.0,0.0
Popularity baseline,1588,junshutang/Make-It-3D,253,0.0,0.0,0.0,0.0
Popularity baseline,1599,guochengqian/Magic123,201,0.0,0.0,0.0,0.0
Popularity baseline,1603,OpenImagingLab/FlashVSR,201,0.0,0.0,0.0,0.0
Popularity baseline,1609,muzishen/IMAGDressing,201,0.0,0.0,0.0,0.0
Popularity baseline,1612,Yujun-Shi/DragDiffusion,403,0.2,0.004962779156327543,0.07857142857142857,0.21222636597291458
Popularity baseline,1620,YanWenKun/Hunyuan3D-2-WinPortable,201,0.0,0.0,0.0,0.0
Popularity baseline,1625,hkproj/pytorch-stable-diffusion,72,0.1,0.013888888888888888,0.025,0.09478836436955078
Popularity baseline,1626,showlab/MotionDirector,214,0.0,0.0,0.0,0.0
Popularity baseline,1641,mbreuss/diffusion-literature-for-robotics,36,0.0,0.0,0.0,0.0
Popularity baseline,1647,Shark-NLP/DiffuSeq,201,0.0,0.0,0.0,0.0
Popularity baseline,1648,finegrain-ai/refiners,89,0.1,0.011235955056179775,0.025,0.09478836436955078
Popularity baseline,1655,songweige/rich-text-to-image,134,0.0,0.0,0.0,0.0
Popularity baseline,1656,jayin92/Skyfall-GS,528,0.0,0.0,0.0,0.0
Popularity baseline,1659,AlonzoLeeeooo/awesome-video-generation,214,0.0,0.0,0.0,0.0
Popularity baseline,1675,kuleshov-group/mdlm,262,0.1,0.003816793893129771,0.01111111111111111,0.06625422345438903
Popularity baseline,1684,kwsong0113/diffusion-forcing-transformer,52,0.0,0.0,0.0,0.0
Popularity baseline,1690,LeanModels/DFloat11,617,0.7,0.011345218800648298,0.5430952380952381,0.7289115290270202
