repo_id,nombre,descripcion,lenguaje,stars,forks,topics,fecha_creacion,ultimo_commit,url
472962757,pliang279/awesome-phd-advice,Collection of advice for prospective and current PhD students,,2061,150,"['phd-students', 'phd-application', 'research', 'computer-science', 'machine-learning']",2022-03-22 22:52:12+00:00,2024-07-10 01:35:33+00:00,https://github.com/pliang279/awesome-phd-advice
803024793,eloialonso/diamond,DIAMOND (DIffusion As a Model Of eNvironment Dreams) is a reinforcement learning agent trained in a diffusion world model. NeurIPS 2024 Spotlight.,Python,2020,151,"['atari', 'deep-learning', 'diffusion-models', 'machine-learning', 'reinforcement-learning', 'research', 'world-models', 'artificial-intelligence']",2024-05-19 22:31:40+00:00,2024-12-06 16:45:28+00:00,https://github.com/eloialonso/diamond
279471437,mrsaeeddev/free-ai-resources,"🚀 FREE AI Resources - 🎓 Courses, 👷 Jobs, 📝 Blogs, 🔬 AI Research, and many more - for everyone!",,1818,321,"['artificial-intelligence', 'artificial-neural-networks', 'machine-learning', 'machine-learning-algorithms', 'machinelearning', 'data-science', 'ai', 'research', 'data', 'data-science-projects', 'data-science-learning', 'deep-learning', 'deep-neural-networks', 'supervised-learning', 'unsupervised-learning', 'reinforcement-learning', 'hacktoberfest2020', 'hacktoberfest']",2020-07-14 03:28:11+00:00,2024-05-29 10:28:36+00:00,https://github.com/mrsaeeddev/free-ai-resources
153201352,google-research/language,Shared repository for open-sourced projects from the Google AI Language team.,Python,1772,363,"['natural-language-processing', 'machine-learning', 'research']",2018-10-16 00:58:14+00:00,2026-04-21 21:17:50+00:00,https://github.com/google-research/language
609859907,aimerou/awesome-ai-papers,A curated list of the most impressive AI papers,,1291,119,"['ai', 'deep-learning', 'machine-learning', 'papers', 'research', 'sota', 'state-of-the-art', 'awesome', 'awesome-list']",2023-03-05 13:11:05+00:00,2025-07-01 13:31:54+00:00,https://github.com/aimerou/awesome-ai-papers
155469554,oscarknagg/few-shot,Repository for few-shot learning machine learning projects,Python,1283,246,"['machine-learning', 'pytorch', 'few-shot-learning', 'research', 'meta-learning', 'maml', 'omniglot', 'miniimagenet']",2018-10-30 23:24:51+00:00,2019-11-25 04:18:31+00:00,https://github.com/oscarknagg/few-shot
168210197,benedekrozemberczki/CapsGNN,"A PyTorch implementation of ""Capsule Graph Neural Network"" (ICLR 2019).",Python,1279,197,"['capsgnn', 'capsule-network', 'capsule-neural-networks', 'convolution', 'pytorch', 'research', 'tensorflow', 'machine-learning', 'deep-learning', 'gnn', 'deepwalk', 'node2vec', 'graph-attention-networks', 'graph-attention-model', 'graph-classification', 'sklearn', 'struc2vec', 'graph-convolution', 'graph-neural-network']",2019-01-29 18:57:25+00:00,2023-03-18 12:08:55+00:00,https://github.com/benedekrozemberczki/CapsGNN
375714864,yandex-research/rtdl,Research on Tabular Deep Learning: Papers & Packages,Python,1125,122,"['python', 'machine-learning', 'deep-learning', 'pytorch', 'research', 'ai', 'artificial-intelligence', 'tabular', 'neural-network', 'papers', 'tabular-data']",2021-06-10 13:52:50+00:00,2026-04-17 09:43:50+00:00,https://github.com/yandex-research/rtdl
52380933,ntasfi/PyGame-Learning-Environment,PyGame Learning Environment (PLE) -- Reinforcement Learning Environment in Python.,Python,1059,230,"['reinforcement-learning', 'game', 'artificial-intelligence', 'agent', 'machine-learning', 'pygame', 'python', 'deep-reinforcement-learning', 'ai', 'research']",2016-02-23 18:13:39+00:00,2022-01-19 22:19:02+00:00,https://github.com/ntasfi/PyGame-Learning-Environment
318652090,danijar/dreamerv2,Mastering Atari with Discrete World Models,Python,1035,212,"['reinforcement-learning', 'world-models', 'artificial-intelligence', 'robotics', 'deep-learning', 'video-prediction', 'atari', 'research', 'machine-learning']",2020-12-04 22:44:45+00:00,2023-01-21 07:43:42+00:00,https://github.com/danijar/dreamerv2
527889855,eloialonso/iris,"Transformers are Sample-Efficient World Models. ICLR 2023, notable top 5%.",Python,877,94,"['deep-learning', 'machine-learning', 'reinforcement-learning', 'artificial-intelligence', 'atari', 'world-models', 'research', 'transformers']",2022-08-23 07:59:35+00:00,2024-10-14 15:36:18+00:00,https://github.com/eloialonso/iris
